timestamp,data_id,model,month,thresholds,start_date,end_date,data_split_date,F2,Precision,Recall,MCC,AUC,BalancedAccuracy,TP,TN,FP,FN
2025-11-16 10:20:15,France_level_2_final,k-Nearest Neighbors,Month+1,0.5,2005-01-01,2024-12-31,2022-01-01,0.93,0.726,1.0,0.621,0.794,0.766,180,77,68,0
2025-11-16 10:20:15,France_level_2_final,k-Nearest Neighbors,Month+2,0.5,2005-01-01,2024-12-31,2022-01-01,0.909,0.688,0.988,0.567,0.768,0.743,170,76,77,2
2025-11-16 10:20:15,France_level_2_final,k-Nearest Neighbors,Month+3,0.5,2005-01-01,2024-12-31,2022-01-01,0.897,0.665,0.982,0.533,0.742,0.727,165,74,83,3
2025-11-16 10:20:15,France_level_2_final,k-Nearest Neighbors,Month+4,0.5,2005-01-01,2024-12-31,2022-01-01,0.879,0.649,0.964,0.486,0.713,0.707,161,71,87,6
2025-11-16 10:20:15,France_level_2_final,k-Nearest Neighbors,Month+5,0.5,2005-01-01,2024-12-31,2022-01-01,0.868,0.641,0.952,0.457,0.693,0.694,159,69,89,8
2025-11-16 10:20:15,France_level_2_final,k-Nearest Neighbors,Month+6,0.5,2005-01-01,2024-12-31,2022-01-01,0.853,0.633,0.935,0.417,0.677,0.677,157,66,91,11
2025-11-16 10:20:17,France_level_2_final,SVC (RBF Kernel),Month+1,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.951,0.796,1.0,0.737,0.946,0.841,180,99,46,0
2025-11-16 10:20:17,France_level_2_final,SVC (RBF Kernel),Month+2,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.929,0.749,0.988,0.67,0.928,0.808,170,96,57,2
2025-11-16 10:20:17,France_level_2_final,SVC (RBF Kernel),Month+3,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.889,0.702,0.952,0.567,0.874,0.76,160,89,68,8
2025-11-16 10:20:17,France_level_2_final,SVC (RBF Kernel),Month+4,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.841,0.657,0.904,0.444,0.809,0.702,151,79,79,16
2025-11-16 10:20:17,France_level_2_final,SVC (RBF Kernel),Month+5,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.819,0.627,0.886,0.369,0.759,0.665,148,70,88,19
2025-11-16 10:20:17,France_level_2_final,SVC (RBF Kernel),Month+6,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.809,0.62,0.875,0.339,0.706,0.651,147,67,90,21
2025-11-16 10:20:19,France_level_2_final,Logistic Regression,Month+1,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.976,0.891,1.0,0.869,0.914,0.924,180,123,22,0
2025-11-16 10:20:19,France_level_2_final,Logistic Regression,Month+2,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.95,0.821,0.988,0.775,0.873,0.873,170,116,37,2
2025-11-16 10:20:19,France_level_2_final,Logistic Regression,Month+3,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.908,0.766,0.952,0.668,0.818,0.82,160,108,49,8
2025-11-16 10:20:19,France_level_2_final,Logistic Regression,Month+4,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.865,0.737,0.904,0.582,0.756,0.781,151,104,54,16
2025-11-16 10:20:19,France_level_2_final,Logistic Regression,Month+5,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.847,0.677,0.904,0.483,0.713,0.724,151,86,72,16
2025-11-16 10:20:19,France_level_2_final,Logistic Regression,Month+6,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.849,0.643,0.923,0.428,0.673,0.687,155,71,86,13
2025-11-16 10:20:23,France_level_2_final,Linear SVM (Calibrated),Month+1,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.973,0.895,0.994,0.868,0.944,0.925,179,124,21,1
2025-11-16 10:20:23,France_level_2_final,Linear SVM (Calibrated),Month+2,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.946,0.84,0.977,0.788,0.9,0.884,168,121,32,4
2025-11-16 10:20:23,France_level_2_final,Linear SVM (Calibrated),Month+3,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.901,0.789,0.935,0.684,0.841,0.834,157,115,42,11
2025-11-16 10:20:23,France_level_2_final,Linear SVM (Calibrated),Month+4,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.843,0.737,0.874,0.558,0.769,0.773,146,106,52,21
2025-11-16 10:20:23,France_level_2_final,Linear SVM (Calibrated),Month+5,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.793,0.683,0.826,0.434,0.72,0.711,138,94,64,29
2025-11-16 10:20:23,France_level_2_final,Linear SVM (Calibrated),Month+6,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.761,0.644,0.798,0.34,0.671,0.663,134,83,74,34
2025-11-16 10:20:23,France_level_2_final,RidgeClassifier (Calibrated),Month+1,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.978,0.9,1.0,0.881,0.945,0.931,180,125,20,0
2025-11-16 10:20:23,France_level_2_final,RidgeClassifier (Calibrated),Month+2,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.957,0.85,0.988,0.813,0.914,0.896,170,123,30,2
2025-11-16 10:20:23,France_level_2_final,RidgeClassifier (Calibrated),Month+3,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.917,0.8,0.952,0.717,0.857,0.849,160,117,40,8
2025-11-16 10:20:23,France_level_2_final,RidgeClassifier (Calibrated),Month+4,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.864,0.75,0.898,0.598,0.79,0.791,150,108,50,17
2025-11-16 10:20:23,France_level_2_final,RidgeClassifier (Calibrated),Month+5,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.805,0.693,0.838,0.46,0.734,0.723,140,96,62,27
2025-11-16 10:20:23,France_level_2_final,RidgeClassifier (Calibrated),Month+6,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.753,0.644,0.786,0.332,0.676,0.66,132,84,73,36
2025-11-16 10:20:27,France_level_2_final,Random Forest,Month+1,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.977,0.896,1.0,0.875,0.954,0.928,180,124,21,0
2025-11-16 10:20:27,France_level_2_final,Random Forest,Month+2,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.94,0.787,0.988,0.727,0.91,0.844,170,107,46,2
2025-11-16 10:20:27,France_level_2_final,Random Forest,Month+3,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.907,0.762,0.952,0.662,0.837,0.817,160,107,50,8
2025-11-16 10:20:27,France_level_2_final,Random Forest,Month+4,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.855,0.718,0.898,0.547,0.774,0.762,150,99,59,17
2025-11-16 10:20:27,France_level_2_final,Random Forest,Month+5,0.5,2005-01-01 00:00:00,2024-12-31 00:00:00,2022-01-01 00:00:00,0.805,0.693,0.838,0.46,0.724,0.723,140,96,62,27
